year,dna,tag_code
2019,1304,3DD.003D2B7EF1
2019,1305,3DD.003D2B7AD3
2019,1305,3DD.003D2B7F29
2019,1306,3DD.003D2B76AE
2019,1306,3DD.003D2B7EE8
2019,1307,3DD.003D2B76DC
2019,1307,3DD.003D2B7F1B
2019,1308,3DD.003D2B76C2
2019,1308,3DD.003D2B7F00
2019,1309,3DD.003D2B76E9
2019,1309,3DD.003D2B7EF7
2019,1310,3DD.003D2B76F7
2019,1310,3DD.003D2B7EF4
2019,1311,3DD.003D2B76E6
2019,1311,3DD.003D2B7F02
2019,1312,3DD.003D2B76B4
2019,1312,3DD.003D2B7F2A
2019,1313,3DD.003D2B76EA
2019,1313,3DD.003D2B7F2E
2019,1314,3DD.003D2B76B8
2019,1314,3DD.003D2B7F0A
2019,1315,3DD.003D2B76E5
2019,1315,3DD.003D2B7F34
2019,1316,3DD.003D2B76C0
2019,1316,3DD.003D2B7EDB
2019,1317,3DD.003D2B76F8
2019,1317,3DD.003D2B7F11
2019,1318,3DD.003D2B7703
2019,1318,3DD.003D2B8172
2019,1319,3DD.003D2B76C5
2019,1319,3DD.0077B03BE8
2019,1320,3DD.003D2B76BF
2019,1320,3DD.003D2B818E
2019,1321,3DD.003D2B7706
2019,1321,3DD.003D2B8148
2019,1322,3DD.003D2B76CF
2019,1322,3DD.003D2B8140
2019,1323,3DD.003D2B76E0
2019,1323,3DD.003D2B813F
2019,1324,3DD.003D2B76BD
2019,1324,3DD.003D2B8135
2019,1325,3DD.003D2B76FA
2019,1325,3DD.003D2B8178
2019,1326,3DD.003D2B76DB
2019,1326,3DD.003D2B815E
2019,1327,3DD.003D2B76D9
2019,1327,3DD.003D2B813D
2019,1328,3DD.003D2B76B3
2019,1328,3DD.003D2B8167
2019,1329,3DD.003D2B76DE
2019,1329,3DD.003D2B8149
2019,1330,3DD.003D2B76C7
2019,1330,3DD.003D2B815C
2019,1331,3DD.003D2B76E7
2019,1331,3DD.003D2B8155
2019,1332,3DD.003D2B76D8
2019,1332,3DD.003D2B817D
2019,1333,3DD.003D2B7702
2019,1333,3DD.003D2B8165
2019,1334,3DD.003D2B76D4
2019,1334,3DD.003D2B813E
2019,1335,3DD.003D2B76C6
2019,1335,3DD.003D2B8188
2019,1401,3DD.003D2B76DD
2019,1401,3DD.003D2B815A
2019,1402,3DD.003D2B76CA
2019,1402,3DD.003D2B8170
2019,1403,3DD.003D2B76B9
2019,1403,3DD.003D2B8186
2019,1404,3DD.003D2B7701
2019,1404,3DD.003D2B8161
2019,1405,3DD.003D2B76F9
2019,1405,3DD.003D2B8192
2019,1406,3DD.003D2B76CD
2019,1406,3DD.003D2B8177
2019,1407,3DD.003D2B814B
2019,1407,3DD.003D2B86A3
2019,1408,3DD.003D2B818D
2019,1408,3DD.003D2B8677
2019,1409,3DD.003D2B814F
2019,1409,3DD.003D2B8667
2019,1410,3DD.003D2B8145
2019,1410,3DD.003D2B8682
2019,1411,3DD.003D2B816C
2019,1411,3DD.003D2B869D
2019,1412,3DD.003D2B8157
2019,1412,3DD.003D2B8676
2019,1413,3DD.003D2B8182
2019,1413,3DD.003D2B864E
2019,1414,3DD.003D2B8174
2019,1414,3DD.003D2B86A0
2019,1415,3DD.003D2B8166
2019,1415,3DD.003D2B86AA
2019,1416,3DD.003D2B8164
2019,1416,3DD.003D2B8660
2019,1417,3DD.003D2B8139
2019,1417,3DD.003D2B8672
2019,1418,3DD.003D2B818B
2019,1418,3DD.003D2B8675
2019,1419,3DD.003D2B8183
2019,1419,3DD.003D2B8683
2019,1420,3DD.003D2B865C
2019,1420,3DD.0077B06D27
2019,1421,3DD.003D2B813C
2019,1421,3DD.003D2B8656
2019,1422,3DD.003D2B818F
2019,1422,3DD.003D2B864C
2019,1423,3DD.003D2B8156
2019,1423,3DD.003D2B8657
2019,1424,3DD.003D2B8190
2019,1424,3DD.003D2B868A
2019,1425,3DD.003D2B817A
2019,1425,3DD.003D2B864D
2019,1426,3DD.003D2B8141
2019,1426,3DD.003D2B86A7
2019,1427,3DD.003D2B816D
2019,1427,3DD.003D2B86AD
2019,1428,3DD.003D2B8142
2019,1428,3DD.003D2B866D
2019,1429,3DD.003D2B8196
2019,1429,3DD.003D2B8654
2019,1430,3DD.003D2B813A
2019,1430,3DD.003D2B8650
2019,1431,3DD.003D2B814D
2019,1431,3DD.003D2B865F
2019,1432,3DD.003D2B8171
2019,1432,3DD.003D2B868D
2019,1433,3DD.003D2B8194
2019,1433,3DD.003D2B865A
2019,1434,3DD.003D2B8159
2019,1434,3DD.003D2B866A
2019,1435,3DD.003D2B817E
2019,1435,3DD.003D2B867A
2019,1436,3DD.003D2B8195
2019,1436,3DD.003D2B8652
2019,1437,3DD.003D2B814C
2019,1437,3DD.003D2B869B
2019,1438,3DD.003D2B8136
2019,1438,3DD.003D2B8666
2019,1439,3DD.003D2B8176
2019,1439,3DD.003D2B86A1
2019,1440,3DD.003D2B815B
2019,1440,3DD.003D2B8651
2019,1441,3DD.003D2B8181
2019,1441,3DD.003D2B8663
2019,1442,3DD.003D2B8144
2019,1442,3DD.003D2B86A9
2019,1443,3DD.003D2B8152
2019,1443,3DD.003D2B868E
2019,1444,3DD.003D2B8189
2019,1444,3DD.003D2B867B
2019,1445,3DD.003D2B8160
2019,1445,3DD.003D2B8684
2019,1446,3DD.003D2B814A
2019,1446,3DD.003D2B86A8
2019,1447,3DD.003D2B8151
2019,1447,3DD.003D2B867C
2019,1448,3DD.003D2B8191
2019,1448,3DD.003D2B8688
2019,1449,3DD.003D2B8168
2019,1449,3DD.003D2B8661
2019,1450,3DD.003D2B8134
2019,1450,3DD.003D2B86A6
2019,1451,3DD.003D2B8185
2019,1451,3DD.003D2B866F
2019,1452,3DD.003D2B8175
2019,1452,3DD.003D2B86AC
2019,1453,3DD.003D2B816F
2019,1453,3DD.003D2B868C
2019,1454,3DD.003D2B8187
2019,1454,3DD.003D2B8680
